"ID","game","activity_date","user_id","purchase_number","product_group","product","dollar_purchase_value"
2,"Game ABC",2023-03-02,30212,1,"Promotion","Remove ads",1.99
3,"Game ABC",2023-03-05,58158,1,"Gems","Low on Gem Pack",1.99
4,"Game ABC",2023-04-02,60250,1,"Gems","Low on Gem Pack",1.99
5,"Game ABC",2023-04-07,21458,1,"Promotion","Remove ads",1.99
6,"Game ABC",2023-04-02,53471,1,"Promotion","Remove ads",1.99
8,"Game ABC",2023-02-19,26301,1,"Coins","Low on Coin Pack",1.99
9,"Game ABC",2023-02-27,26301,2,"Gems","Gem Pack 1",1.99
13,"Game ABC",2023-03-23,18841,1,"Promotion","Remove ads",1.99
14,"Game ABC",2023-03-29,43200,1,"Promotion","Remove ads",1.99
15,"Game ABC",2023-04-06,41894,1,"Gems","Low on Gem Pack",1.99
18,"Game ABC",2023-03-07,11841,1,"Promotion","Remove ads",1.99
22,"Game ABC",2023-03-02,20763,1,"Promotion","Remove ads",1.99
23,"Game ABC",2023-04-06,25728,1,"Promotion","Remove ads",1.99
24,"Game ABC",2023-04-03,27823,1,"Coins","Coin Pack 1",1.99
25,"Game ABC",2023-03-16,30610,1,"Coins","Low on Coin Pack",1.99
26,"Game ABC",2023-02-11,60126,1,"Gems","Gem Pack 1",1.99
30,"Game ABC",2023-02-16,9336,3,"Coins","Double Coin Pack",1.99
33,"Game ABC",2023-02-22,9336,6,"Gems","Gem Pack 1",1.99
61,"Game ABC",2023-03-15,14740,1,"Promotion","Remove ads",1.99
62,"Game ABC",2023-02-25,21970,1,"Promotion","Remove ads",1.99
64,"Game ABC",2023-02-22,12122,1,"Promotion","Remove ads",1.99
65,"Game ABC",2023-02-26,31949,1,"Promotion","Remove ads",1.99
66,"Game ABC",2023-02-15,46929,1,"Coins","Double Coin Pack",1.99
69,"Game ABC",2023-04-05,9385,1,"Promotion","Remove ads",1.99
70,"Game ABC",2023-03-13,53818,1,"Promotion","Remove ads",1.99
72,"Game ABC",2023-03-03,61414,1,"Promotion","Remove ads",1.99
74,"Game ABC",2023-02-25,64630,1,"Promotion","Remove ads",1.99
75,"Game ABC",2023-03-21,9917,1,"Promotion","Remove ads",1.99
76,"Game ABC",2023-03-02,25853,1,"Gems","Low on Gem Pack",1.99
77,"Game ABC",2023-03-18,33713,1,"Promotion","Remove ads",1.99
78,"Game ABC",2023-03-25,43688,1,"Promotion","Remove ads",1.99
81,"Game ABC",2023-02-28,25299,1,"Promotion","Remove ads",1.99
82,"Game ABC",2023-04-07,47982,1,"Promotion","Remove ads",1.99
83,"Game ABC",2023-03-17,8024,1,"Gems","Low on Gem Pack",1.99
84,"Game ABC",2023-03-13,34204,1,"Promotion","Remove ads",1.99
85,"Game ABC",2023-02-06,63031,1,"Gems","Gem Pack 1",1.99
86,"Game ABC",2023-02-22,63495,1,"Coins","Double Coin Pack",1.99
87,"Game ABC",2023-02-22,63495,2,"Coins","Coin Pack 1",1.99
88,"Game ABC",2023-03-18,5003,1,"Promotion","Remove ads",1.99
89,"Game ABC",2023-03-06,47740,1,"Promotion","Remove ads",1.99
90,"Game ABC",2023-03-14,4227,1,"Promotion","Remove ads",1.99
91,"Game ABC",2023-04-04,60028,1,"Gems","Low on Gem Pack",1.99
92,"Game ABC",2023-03-05,7944,1,"Coins","Coin Pack 1",1.99
93,"Game ABC",2023-03-31,7944,2,"Coins","Coin Pack 1",1.99
94,"Game ABC",2023-03-31,7944,3,"Coins","Coin Pack 1",1.99
96,"Game ABC",2023-02-24,14259,1,"Promotion","Remove ads",1.99
97,"Game ABC",2023-02-13,2614,1,"Promotion","Remove ads",1.99
98,"Game ABC",2023-03-22,18036,1,"Promotion","Remove ads",1.99
100,"Game ABC",2023-02-14,17883,1,"Coins","Double Coin Pack",1.99
101,"Game ABC",2023-02-19,27819,1,"Promotion","Remove ads",1.99
102,"Game ABC",2023-04-04,3115,1,"Promotion","Remove ads",1.99
106,"Game ABC",2023-03-28,65152,1,"Promotion","Remove ads",1.99
107,"Game ABC",2023-03-09,9598,1,"Gems","Low on Gem Pack",1.99
110,"Game ABC",2023-03-16,37148,1,"Promotion","Remove ads",1.99
111,"Game ABC",2023-04-04,50379,1,"Promotion","Remove ads",1.99
112,"Game ABC",2023-04-04,52835,1,"Promotion","Remove ads",1.99
113,"Game ABC",2023-03-26,56391,1,"Promotion","Remove ads",1.99
114,"Game ABC",2023-03-23,63186,1,"Gems","Low on Gem Pack",1.99
116,"Game ABC",2023-03-23,63186,3,"Promotion","Remove ads",1.99
117,"Game ABC",2023-02-27,64126,1,"Promotion","Remove ads",1.99
118,"Game ABC",2023-02-15,43672,1,"Coins","Low on Coin Pack",1.99
119,"Game ABC",2023-02-16,43672,2,"Coins","Double Coin Pack",1.99
120,"Game ABC",2023-03-19,43672,3,"Gems","Gem Pack 1",1.99
121,"Game ABC",2023-02-17,985,1,"Gems","Low on Gem Pack",1.99
124,"Game ABC",2023-03-11,65267,1,"Gems","Low on Gem Pack",1.99
125,"Game ABC",2023-02-12,52925,1,"Coins","Double Coin Pack",1.99
127,"Game ABC",2023-04-04,52925,3,"Gems","Gem Pack 1",1.99
128,"Game ABC",2023-03-28,64565,1,"Promotion","Remove ads",1.99
129,"Game ABC",2023-03-16,33397,1,"Gems","Low on Gem Pack",1.99
132,"Game ABC",2023-02-15,45226,1,"Promotion","Remove ads",1.99
133,"Game ABC",2023-03-26,65565,1,"Promotion","Remove ads",1.99
137,"Game ABC",2023-03-10,16781,1,"Promotion","Remove ads",1.99
138,"Game ABC",2023-03-27,42384,1,"Gems","Low on Gem Pack",1.99
139,"Game ABC",2023-04-06,20553,1,"Gems","Low on Gem Pack",1.99
141,"Game ABC",2023-03-16,39139,1,"Promotion","Remove ads",1.99
142,"Game ABC",2023-02-24,16337,1,"Promotion","Remove ads",1.99
143,"Game ABC",2023-04-06,52762,1,"Promotion","Remove ads",1.99
144,"Game ABC",2023-02-20,2501,1,"Coins","Double Coin Pack",1.99
147,"Game ABC",2023-03-23,344,1,"Promotion","Remove ads",1.99
148,"Game ABC",2023-02-26,5685,1,"Promotion","Remove ads",1.99
149,"Game ABC",2023-03-28,7487,1,"Gems","Low on Gem Pack",1.99
150,"Game ABC",2023-03-06,784,1,"Promotion","Remove ads",1.99
152,"Game ABC",2023-02-21,38717,1,"Promotion","Remove ads",1.99
154,"Game ABC",2023-03-21,50860,1,"Promotion","Remove ads",1.99
155,"Game ABC",2023-04-05,61551,1,"Promotion","Remove ads",1.99
156,"Game ABC",2023-02-25,10243,1,"Promotion","Remove ads",1.99
157,"Game ABC",2023-03-13,18409,1,"Promotion","Remove ads",1.99
158,"Game ABC",2023-03-14,18409,2,"Gems","Gem Pack 1",1.99
159,"Game ABC",2023-03-14,18409,3,"Gems","Gem Pack 1",1.99
160,"Game ABC",2023-03-28,28085,1,"Promotion","Remove ads",1.99
161,"Game ABC",2023-03-05,62068,1,"Promotion","Remove ads",1.99
164,"Game ABC",2023-03-25,13688,1,"Promotion","Remove ads",1.99
165,"Game ABC",2023-02-09,14507,1,"Promotion","Remove ads",1.99
166,"Game ABC",2023-04-07,9361,1,"Promotion","Remove ads",1.99
167,"Game ABC",2023-03-31,35540,1,"Coins","Low on Coin Pack",1.99
168,"Game ABC",2023-02-23,6566,1,"Gems","Low on Gem Pack",1.99
169,"Game ABC",2023-02-17,32087,1,"Promotion","Remove ads",1.99
171,"Game ABC",2023-03-17,16025,1,"Promotion","Remove ads",1.99
172,"Game ABC",2023-03-02,28714,1,"Promotion","Remove ads",1.99
174,"Game ABC",2023-02-17,5247,1,"Promotion","Remove ads",1.99
175,"Game ABC",2023-02-16,38188,1,"Promotion","Remove ads",1.99
176,"Game ABC",2023-03-26,64020,1,"Promotion","Remove ads",1.99
180,"Game ABC",2023-03-06,56197,1,"Gems","Low on Gem Pack",1.99
181,"Game ABC",2023-03-15,56197,2,"Gems","Gem Pack 1",1.99
182,"Game ABC",2023-03-26,62881,1,"Promotion","Remove ads",1.99
183,"Game ABC",2023-02-27,18532,1,"Promotion","Remove ads",1.99
187,"Game ABC",2023-02-14,21896,1,"Coins","Double Coin Pack",1.99
188,"Game ABC",2023-03-14,4797,1,"Promotion","Remove ads",1.99
194,"Game ABC",2023-03-21,14926,1,"Gems","Low on Gem Pack",1.99
195,"Game ABC",2023-03-19,26252,1,"Gems","Gem Pack 1",1.99
196,"Game ABC",2023-02-15,31532,1,"Promotion","Remove ads",1.99
198,"Game ABC",2023-03-15,42392,1,"Coins","Low on Coin Pack",1.99
199,"Game ABC",2023-03-15,42392,2,"Coins","Low on Coin Pack",1.99
200,"Game ABC",2023-03-15,42392,3,"Coins","Low on Coin Pack",1.99
201,"Game ABC",2023-02-10,53293,1,"Promotion","Remove ads",1.99
212,"Game ABC",2023-03-16,17740,1,"Coins","Low on Coin Pack",1.99
216,"Game ABC",2023-04-01,33645,1,"Coins","Low on Coin Pack",1.99
